pathway,WT,APP23
Cholesterol,TRUE,TRUE
Desmosterol,TRUE,TRUE
SEMA6,FALSE,TRUE
TENASCIN,FALSE,TRUE
PDGF,FALSE,TRUE
IGF,FALSE,TRUE
CypA,TRUE,FALSE
AGRN,TRUE,FALSE
ncWNT,TRUE,FALSE
